"<android.app.Activity: void startActivity(android.content.Intent)>","Intent { act=android.intent.action.VIEW dat=market://details?id=com.RunnerGames.game.PumpkinsVsMonster_AD flg=0x10000000 }"
"<java.io.OutputStream: void write(byte[])>","[B@4907f18"
"<android.view.View: void setBackgroundResource(int)>","2130837554"
"<android.view.View: void setBackgroundResource(int)>","2130837510"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","网络异常，请查看网络 ，谢谢！"
"<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>","android.widget.LinearLayout{b1b8cb7 V.E...... ......I. 0,0-0,0}","0","0","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.app.Activity: void setContentView(int)>","2130903043"
"<android.view.View: void setBackgroundResource(int)>","2130837521"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","STROKE"
"<android.graphics.Paint: void setStyle(android.graphics.Paint$Style)>","STROKE"
"<android.view.View: void setClickable(boolean)>","1"
"<android.view.View: void setFocusable(boolean)>","1"
"<android.view.View: void setBackgroundResource(int)>","2130837518"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setTextColor(int)>","-1"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.os.Handler: boolean sendMessage(android.os.Message)>","{ when=-2h9m14s332ms what=1 target=com.turntable.gk.TestGame$4 }"
"<android.widget.ProgressBar: void setVisibility(int)>","8"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","0"
"<android.view.View: void setBackgroundResource(int)>","2130837521"
"<android.view.View: void setBackgroundResource(int)>","2130837554"
"<android.view.View: void setBackgroundResource(int)>","2130837510"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","网络异常，请查看网络 ，谢谢！"
"<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>","android.widget.LinearLayout{f7e7b47 V.E...... ......I. 0,0-0,0}","0","0","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.app.Activity: void startActivityForResult(android.content.Intent,int)>","Intent { cmp=com.turntable.gk/.SelectGlod (has extras) }","3"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.app.Activity: void setContentView(int)>","2130903044"
"<android.widget.ProgressBar: void setVisibility(int)>","4"
"<android.graphics.Paint: void setARGB(int,int,int,int)>","255","255","0","0"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","需支付金额：1元  "
"<android.widget.ImageView: void setVisibility(int)>","0"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.TextView: void setText(java.lang.CharSequence)>","检测到您的手机尚未安装微博钱包安全支付组件，为了支付安全，请立即安装."
"<android.app.AlertDialog: void setView(android.view.View,int,int,int,int)>","android.widget.LinearLayout{a9d7fee V.E...... ......I. 0,0-0,0}","0","0","0","0"
"<android.widget.TextView: void setTextSize(float)>","15.0"
"<android.widget.ImageView: void setVisibility(int)>","0"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ProgressBar: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","0"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","0"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","0"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
"<android.widget.ImageView: void setVisibility(int)>","4"
