"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","352"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","336"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","320"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","320"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","288"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","272"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","256"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 16"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1744"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 13"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1696"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1600"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1536"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1376"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1296"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1120"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","992"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","880"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","832"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","736"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","688"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","672"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 16"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","608"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","608"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","544"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","496"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","480"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","448"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","416"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","336"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","320"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","288"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","256"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","256"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","240"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","240"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","192"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","192"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 14"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1616"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1472"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1408"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1376"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1328"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1280"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 13"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1216"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1216"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1200"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1152"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1040"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","832"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","784"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","688"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","656"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","640"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","608"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","448"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","272"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","256"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","208"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 12"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1696"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1680"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1344"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1280"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1232"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@76989c0","0","1184"
"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.app.Activity: void setContentView(android.view.View)>","android.widget.RelativeLayout{f9ddc90 V.E...... ......I. 0,0-0,0}"
"<android.app.Activity: void setVolumeControlStream(int)>","3"
"<android.view.View: void setFocusableInTouchMode(boolean)>","1"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","pm"
"<java.nio.ShortBuffer: java.nio.ShortBuffer put(short[],int,int)>","[S@38f1a6d","0","1200"
"<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>","items.png"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","click.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","fire.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","settle.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","select.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","stageclear.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","broken.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","win.mp3"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","gameover.mp3"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 2"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1552"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1552"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1520"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1504"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1296"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1280"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1264"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","912"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","896"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","864"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","864"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","848"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","752"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","688"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","688"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","640"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 10"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","304"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","288"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","256"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1696"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1632"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1616"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1472"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1392"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 8"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1312"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1248"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","992"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","928"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","864"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","864"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","736"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","704"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","688"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","656"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","640"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","560"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","560"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","304"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","272"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","256"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","224"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","176"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1776"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@26d7f33","0","1728"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 8"
"<java.nio.ShortBuffer: java.nio.ShortBuffer put(short[],int,int)>","[S@376e695","0","2100"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","208"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","208"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","208"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","208"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","208"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","208"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","208"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 8"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 8"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 9"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1888"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<android.util.Log: int d(java.lang.String,java.lang.String)>","FPSCounter","fps: 8"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
"<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>","[I@1fc3aa","0","1984"
