"<android.view.Window: void setFlags(int,int)>","1024","1024"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 79 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837515"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837515"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 52"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 87 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837516"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837516"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 56"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 96 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837517"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837517"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 43"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837518"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837518"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 111 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837519"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837519"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 117 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837520"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837520"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 124 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837521"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837521"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 130 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837522"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837527"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 168 KBytes"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837529"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837530"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837530"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 288"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 64"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 188 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837531"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837531"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 288"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 64"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 260 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837532"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837532"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 288"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 64"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837534"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837534"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 64"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 288"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 476 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837535"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837535"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 64"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 288"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 548 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837536"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837536"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 64"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 288"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 620 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837537"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837537"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 64"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 288"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 692 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837538"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837538"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 88"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 32"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 765 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837539"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837539"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 149"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 49"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 776 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837540"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837540"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 90"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 24"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 804 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837541"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837541"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 90"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 24"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 813 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837542"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837542"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 32"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 23"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 821 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837543"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837543"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 35"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 21"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 824 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837544"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837544"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 27"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 27"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 827 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837545"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837545"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 31"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 31"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 830 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837546"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837546"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 37"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 36"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 834 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837547"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837547"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 36"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 840 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837548"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837548"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 36"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 45"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 845 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837549"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837549"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 43"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 47"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 852 KBytes"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 44"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 41"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 876 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837553"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837553"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 41"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 40"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 883 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837554"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837554"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 43"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 33"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 890 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837555"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837555"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 39"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 39"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 895 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837556"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837556"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 83"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 107"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 901 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837557"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837557"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 90"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 108"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 936 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837558"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837558"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 104"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 111"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 974 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837559"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837559"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 119"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 115"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 1020 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837560"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837560"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 8"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 8"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 1073 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837561"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837561"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 153"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 121"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 1073 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837562"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837563"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 165"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 124"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 1146 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837564"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837564"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 8"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 8"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","OPtions: ARGB_8888"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Picture use RAM: 1226 KBytes"
"<android.content.res.Resources: java.io.InputStream openRawResource(int)>","2130837565"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","ResID: 2130837565"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Width: 130"
"<android.util.Log: int v(java.lang.String,java.lang.String)>","GameEngine","Height: 117"
