<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.widget.TextView: void setPadding(int,int,int,int)>;"4","0","4","10"
<android.app.Activity: void setContentView(int)>;"2130903040"
<android.app.Activity: void setContentView(android.view.View,android.view.ViewGroup$LayoutParams)>;"android.widget.FrameLayout{66f256b V.E...... ......I. 0,0-0,0}","android.widget.FrameLayout$LayoutParams@67bb8c8"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"KeyBoards","init keyboards"
<android.graphics.Matrix: void setTranslate(float,float)>;"319.72977","0.0"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"User-Agent","DirectTapSDK ver1.0.3 (9;28;) Android Native"
<android.app.Activity: void setRequestedOrientation(int)>;"6"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","create files"
<android.os.Handler: boolean sendEmptyMessage(int)>;"55"
<android.widget.ProgressBar: void setProgress(int)>;"36"
<android.widget.ProgressBar: void setProgress(int)>;"7"
<android.widget.ProgressBar: void setProgress(int)>;"24"
<android.widget.ProgressBar: void setProgress(int)>;"23"
<android.widget.ProgressBar: void setProgress(int)>;"15"
<android.view.View: void setBackgroundResource(int)>;"2130837575"
<android.graphics.Matrix: void setTranslate(float,float)>;"10.729018","0.0"
<android.widget.ProgressBar: void setProgress(int)>;"20"
<android.view.Window: void setFlags(int,int)>;"1024","1024"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"If you enjoy using  Run!Santa!Run!, please take a moment to rate it. Thanks!"
<android.widget.ProgressBar: void setVisibility(int)>;"0"
<java.lang.String: boolean startsWith(java.lang.String)>;"460"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Splash","UPDATE_PROGRESSBAR"
<android.graphics.Matrix: void setTranslate(float,float)>;"377.01437","0.0"
<android.widget.ProgressBar: void setProgress(int)>;"9"
<android.widget.ProgressBar: void setProgress(int)>;"40"
<android.widget.ProgressBar: void setProgress(int)>;"43"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 58.28575][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.graphics.Matrix: void setTranslate(float,float)>;"394.47516","0.0"
<android.widget.ProgressBar: void setProgress(int)>;"30"
<android.widget.ProgressBar: void setProgress(int)>;"39"
<android.widget.TextView: void setText(int)>;"2131034123"
<android.widget.ProgressBar: void setProgress(int)>;"18"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 377.01437][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.widget.ProgressBar: void setProgress(int)>;"42"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"Remind me later"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 394.47516][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 259.0061][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"KeyBoards","mRightKey: 55"
<android.widget.ProgressBar: void setProgress(int)>;"12"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""e902f3e5-693a-4491-976a-788bd23b1cd4"",oauth_signature=""vXJ2BO0TUP328AhMweb9yCCZlBc%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682184132"",oauth_version=""1.0"""
<android.widget.ProgressBar: void setProgress(int)>;"27"
<android.widget.ProgressBar: void setProgress(int)>;"21"
<android.os.Handler: boolean sendEmptyMessage(int)>;"291"
<android.widget.ProgressBar: void setProgress(int)>;"3"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Main","onCreate: 1977"
<android.widget.ProgressBar: void setProgress(int)>;"6"
<android.widget.ProgressBar: void setProgress(int)>;"14"
<android.app.Dialog: void setTitle(java.lang.CharSequence)>;"Please rate  Run!Santa!Run!"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Sdk-Version","1.0.3"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"DirectTapSDK","Starting DirectTap sdk"
<android.widget.ProgressBar: void setProgress(int)>;"29"
<android.widget.ProgressBar: void setProgress(int)>;"22"
<android.graphics.Canvas: void setMatrix(android.graphics.Matrix)>;"Matrix{[1.0, 0.0, 119.25097][0.0, 1.0, 0.0][0.0, 0.0, 1.0]}"
<android.widget.ProgressBar: void setProgress(int)>;"19"
<android.view.View: void setBackgroundColor(int)>;"-16777216"
<android.widget.ProgressBar: void setProgress(int)>;"32"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.RelativeLayout{fabb1ed V.E...... ......I. 0,0-0,0}"
<android.view.View: void setVisibility(int)>;"0"
<android.widget.ProgressBar: void setProgress(int)>;"41"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Splash","DISMISS_PROGRESSBAR"
