<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.view.View: void setBackgroundResource(int)>;"2130837575"
<android.widget.ProgressBar: void setProgress(int)>;"20"
<android.view.Window: void setFlags(int,int)>;"1024","1024"
<android.widget.ProgressBar: void setVisibility(int)>;"0"
<android.content.Intent: android.content.Intent setAction(java.lang.String)>;"android.intent.action.MAIN"
<java.lang.String: boolean startsWith(java.lang.String)>;"460"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Splash","UPDATE_PROGRESSBAR"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] dat=/storage/emulated/0/kaleidosPic flg=0x10200000 cmp=com.amazon.photos/com.amazon.gallery.tate.app.activity.TateCollectionListActivity (has extras) }"
<android.widget.ProgressBar: void setProgress(int)>;"9"
<android.content.Intent: android.content.Intent putExtra(java.lang.String,java.lang.String)>;"windowTitle","KaleidoDrawPic"
<android.widget.ProgressBar: void setProgress(int)>;"40"
<android.widget.ProgressBar: void setProgress(int)>;"43"
<android.graphics.Paint: void setStrokeJoin(android.graphics.Paint$Join)>;"ROUND"
<android.widget.ProgressBar: void setProgress(int)>;"30"
<android.widget.ProgressBar: void setProgress(int)>;"39"
<android.widget.ProgressBar: void setProgress(int)>;"18"
<android.widget.ProgressBar: void setProgress(int)>;"42"
<java.net.URL: void <init>;ava.lang.String)>","http://data.doodlemobile.com:8080/dmdata/ReceiveServlet"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"KeyBoards","mRightKey: 55"
<android.graphics.Paint: void setStrokeJoin(android.graphics.Paint$Join)>;"BEVEL"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.RelativeLayout{d4e553e V.E...... ......I. 0,0-0,0}"
<android.widget.ProgressBar: void setProgress(int)>;"12"
<android.widget.ProgressBar: void setProgress(int)>;"27"
<android.widget.ProgressBar: void setProgress(int)>;"21"
<android.content.Intent: android.content.Intent putExtra(java.lang.String,int)>;"mediaTypes","1"
<android.os.Handler: boolean sendEmptyMessage(int)>;"291"
<android.view.Window: void setFlags(int,int)>;"128","128"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"线程","-------->>"
<android.widget.ProgressBar: void setProgress(int)>;"3"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Main","onCreate: 1977"
<android.widget.ProgressBar: void setProgress(int)>;"6"
<android.widget.ProgressBar: void setProgress(int)>;"14"
<android.widget.ProgressBar: void setProgress(int)>;"29"
<android.widget.ProgressBar: void setProgress(int)>;"22"
<android.widget.ProgressBar: void setProgress(int)>;"19"
<android.view.View: void setBackgroundColor(int)>;"-16777216"
<android.widget.ProgressBar: void setProgress(int)>;"32"
<android.graphics.Paint: void setStrokeCap(android.graphics.Paint$Cap)>;"ROUND"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.RelativeLayout{9ab870e V.E...... ......I. 0,0-0,0}"
<android.view.View: void setVisibility(int)>;"0"
<android.widget.ProgressBar: void setProgress(int)>;"41"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"Splash","DISMISS_PROGRESSBAR"
