<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682055043607"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837624"
<android.os.Handler: boolean sendEmptyMessage(int)>;"3"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@bce41f9","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@e82253e"
<java.io.OutputStream: void write(byte[])>;"[B@4f169fe"
<java.io.OutputStream: void write(byte[])>;"[B@6e3aaec"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","mkdir"
<java.io.OutputStream: void write(byte[])>;"[B@fb66bc8"
<java.io.OutputStream: void write(byte[])>;"[B@5ebbd34"
<java.io.OutputStream: void write(byte[])>;"[B@9904354"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@9213731","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@2db9e16"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064853667"
<java.io.OutputStream: void write(byte[])>;"[B@3c056f8"
<android.os.Handler: boolean sendEmptyMessage(int)>;"10001"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"#1 FREE 3D Fish & Aquarium Social Game"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064792202"
<java.io.OutputStream: void write(byte[])>;"[B@ad6fe61"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@cb13397","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@2f52984"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@acd3c47"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@c39bea","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@dc6dedb"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064803695"
<android.widget.ProgressBar: void setProgress(int)>;"0"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@b135a09","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@8a2440e"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"DoodleMobile","onVisibility, Appear: com.forthblue.diknkyl main_view"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@28c300a","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@e0fb07b"
<java.io.OutputStream: void write(byte[])>;"[B@ee133c5"
<java.io.OutputStream: void write(byte[])>;"[B@56bc40"
<android.view.View: void setBackgroundResource(int)>;"2130837580"
<java.io.OutputStream: void write(byte[])>;"[B@c47e4bd"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@155333d","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@5119732"
<java.io.OutputStream: void write(byte[])>;"[B@55f21ac"
<java.io.OutputStream: void write(byte[])>;"[B@b2a890"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@1b0b4b2"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@df5cd78","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@9133c51"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@9e0a778","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@67e0e51"
<java.io.OutputStream: void write(byte[])>;"[B@e9f7a05"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@e40fe8f","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@d6251c"
<java.io.OutputStream: void write(byte[])>;"[B@c60608f"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682054930790"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@94d765c","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@7339d65"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@d892e8c","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@bdfa9d5"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@e95ce98","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@c4b76f1"
<java.io.OutputStream: void write(byte[])>;"[B@a19214a"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"DoodleMObile","-----------------B468CC5EEA2E4AA6"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682054946174"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@2f7085b","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@91c78f8"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044989189"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@445f8d2"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@c608b7f"
<android.os.Handler: boolean sendEmptyMessage(int)>;"100001"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064772919"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"Profile"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044978794"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837618"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@a248525","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@1bc26fa"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837523"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@2d49692","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@150c863"
<java.io.OutputStream: void write(byte[])>;"[B@53ede99"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobile","Warning: requestFeatrueFile: oldtime: -1 nowtime: 0"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@b6ef9f","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@ee0a8ec"
<java.io.OutputStream: void write(byte[])>;"[B@1f934cb"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@2d6474c"
<java.io.OutputStream: void write(byte[])>;"[B@97c2ab2"
<java.io.OutputStream: void write(byte[])>;"[B@f34c7d1"
<java.io.OutputStream: void write(byte[])>;"[B@8211226"
<java.io.OutputStream: void write(byte[])>;"[B@3e850d6"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@df888e7","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@632dc94"
<java.io.OutputStream: void write(byte[])>;"[B@e0fc5bd"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"100001","240000"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@3b865ea","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@18ce0db"
<android.app.Activity: void setVolumeControlStream(int)>;"3"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064863886"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682054953926"
<java.io.OutputStream: void write(byte[])>;"[B@181d6ae"
<java.io.OutputStream: void write(byte[])>;"[B@6636414"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@b241f9d","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@717c12"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044968694"
<java.io.OutputStream: void write(byte[])>;"[B@dfa30e2"
<java.io.OutputStream: void write(byte[])>;"[B@7c68c38"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064733182"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@38e792e","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@429cccf"
<java.io.OutputStream: void write(byte[])>;"[B@b8bdeb5"
<java.io.OutputStream: void write(byte[])>;"[B@5f2aa5a"
<java.io.OutputStream: void write(byte[])>;"[B@f4f4d8b"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044989188"
<java.io.OutputStream: void write(byte[])>;"[B@ccbee75"
<java.io.OutputStream: void write(byte[])>;"[B@21cad80"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@db056bd"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"DoodleMobile","RefreshHandler, Refresh: com.forthblue.diknkyl 10"
<java.io.OutputStream: void write(byte[])>;"[B@5d0931"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064782041"
<java.io.OutputStream: void write(byte[])>;"[B@7e8c46b"
<java.io.OutputStream: void write(byte[])>;"[B@fee82b1"
<java.io.OutputStream: void write(byte[])>;"[B@46ab6b5"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682055044926"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Basket","Create OpenGL ES 2.0 successed."
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@9c542d6","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@aded957"
<java.io.OutputStream: void write(byte[])>;"[B@fb8114e"
<org.apache.http.conn.scheme.SchemeRegistry: org.apache.http.conn.scheme.Scheme register(org.apache.http.conn.scheme.Scheme)>;"http:80"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044962713"
<java.io.OutputStream: void write(byte[])>;"[B@7f9af6e"
<java.io.OutputStream: void write(byte[])>;"[B@307411a"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@a189de","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@c7d87bf"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@85fab56","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@17457d7"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@a45c396"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@de872fd","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@bb03bf2"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064763494"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837604"
<org.apache.http.conn.scheme.SchemeRegistry: org.apache.http.conn.scheme.Scheme register(org.apache.http.conn.scheme.Scheme)>;"https:443"
<java.io.OutputStream: void write(byte[])>;"[B@6d689d8"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064823890"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064831313"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837527"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@1378cb6","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@c4a8db7"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837621"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@b797243","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@65840c0"
<java.io.OutputStream: void write(byte[])>;"[B@5d7660f"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837525"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@93423ac","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@119c875"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@e4b7233","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@95d59f0"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@bf77c8e","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@4277caf"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobile","Warning: get feature game name: Fish Live"
<java.io.OutputStream: void write(byte[])>;"[B@9420249"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064763491"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"DoodleMobile","ICON, Clicks: com.forthblue.diknkyl main_view"
<java.io.OutputStream: void write(byte[])>;"[B@9d43e5c"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobile","Warning: start parse feature file"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682054986242"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@39840a3","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@c975fa0"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682055043615"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@3e61730","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@328afa9"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044978846"
<android.view.View: void setVisibility(int)>;"4"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837619"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@324e6bb","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@4a567d8"
<java.io.OutputStream: void write(byte[])>;"[B@dbedac0"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837519"
<java.io.OutputStream: void write(byte[])>;"[B@662d75a"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","create files"
<java.io.OutputStream: void write(byte[])>;"[B@8663d97"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobile","Warning: requestFeatrueFile: oldtime: 0 nowtime: 0"
<java.io.OutputStream: void write(byte[])>;"[B@992f411"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"GameCenterActivity","on create duration: 345"
<java.io.OutputStream: void write(byte[])>;"[B@7f2d39a"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682054952834"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837625"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@c05ac60","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@b2fd519"
<java.io.OutputStream: void write(byte[])>;"[B@37433e4"
<java.io.OutputStream: void write(byte[])>;"[B@fe452a7"
<java.io.OutputStream: void write(byte[])>;"[B@b769016"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","write fos"
<java.io.OutputStream: void write(byte[])>;"[B@201b7c"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044981276"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064763490"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"LV 0"
<java.io.OutputStream: void write(byte[])>;"[B@eca2914"
<java.io.OutputStream: void write(byte[])>;"[B@189b55f"
<java.io.OutputStream: void write(byte[])>;"[B@ebcb99f"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682055043608"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@b2798bc","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@dcd8045"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837521"
<java.io.OutputStream: void write(byte[])>;"[B@fd467b"
<java.io.OutputStream: void write(byte[])>;"[B@68c9a03"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044962710"
<java.io.OutputStream: void write(byte[])>;"[B@52dccbe"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044987453"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@a330461"
<java.io.OutputStream: void write(byte[])>;"[B@521156d"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682055048405"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837593"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@cc08006","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@f9c86c7"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064732535"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064752569"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"Client","Exception: 1"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"10001","45000"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"Basket","Mesh loaded, numvertices=3097, numindices=8968"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837528"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682054981160"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"DoodleMobile","onVisibility, Appear: com.forthblue.diknkyl dm_gamecenter_activity"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837592"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@dc69b69","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@d2059ee"
<java.io.OutputStream: void write(byte[])>;"[B@f37dc73"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@ea76e2f","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@8366c3c"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837603"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682044962725"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064881587"
<java.io.OutputStream: void write(byte[])>;"[B@aa9c7d2"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064773493"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@dd8120e"
<java.io.OutputStream: void write(byte[])>;"[B@154f4a7"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@4929c11","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@41fd176"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@6ed955e"
<android.widget.ImageView: void setImageBitmap(android.graphics.Bitmap)>;"android.graphics.Bitmap@f63449e"
<java.io.OutputStream: void write(byte[])>;"[B@f120d86"
<java.net.URL: void <init>;ava.lang.String)>","http://data.doodlemobile.com:8080/dmdata/ReceiveServlet"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@646be4b","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@31c1028"
<java.io.OutputStream: void write(byte[])>;"[B@f16e2ec"
<java.io.OutputStream: void write(byte[])>;"[B@e07f45a"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837605"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@ba804b5","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@f7574a"
<java.io.OutputStream: void write(byte[])>;"[B@ea2b181"
<java.lang.String: boolean startsWith(java.lang.String)>;"AND"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837617"
<java.io.OutputStream: void write(byte[])>;"[B@8a4e60c"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"DoodleMobile","onVisibility, Appear: com.forthblue.diknkyl null"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682054996306"
<java.io.OutputStream: void write(byte[])>;"[B@edf1c"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837524"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682054936213"
<java.io.OutputStream: void write(byte[])>;"[B@890a1b9"
<java.io.OutputStream: void write(byte[])>;"[B@a02617c"
<java.io.OutputStream: void write(byte[])>;"[B@bbc0807"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2131034130"
<android.content.res.Resources: java.io.InputStream openRawResource(int)>;"2130837609"
<java.io.OutputStream: void write(byte[])>;"[B@73e5e14"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064761155"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@6cf4141","Rect(0, 0 - 0, 0)","android.graphics.BitmapFactory$Options@566c6e6"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064732307"
<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>;"ts","1682064725163"
