<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (16ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (2ms)"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@9902e33","class com.funbox.game.angxde.Main"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (61ms)"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Type","application/x-www-form-urlencoded"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GMenu","onCreate(), b != null"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@418e106","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
;		var cssNode = document.createElement('link');","var cssNode = document.createElement('link');"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (43ms)"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameAd","work():gameId=-1"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","onResume()...call"
<java.io.Writer: void write(java.lang.String)>;"-1
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","playMusic()....mMusicOn=TRUE"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m32s304ms barrier=0 }"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GMenu","updateHighScore(),highScore=5"
;/"
<meta name = \""viewport\"" content = \""width = device-width, initial-scale = 0.9142857142857143, maximum-scale = 0.9142857142857143, user-scalable = no\"" />;"<meta name = ""viewport"" content = ""width = device-width","initial-scale = 0.9142857142857143","maximum-scale = 0.9142857142857143","user-scalable = no"" />"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (35ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","To get test ads on this device use AdManager.setTestDevices( new String[] { ""E7732AA1CEAC90252F74BF7D0D513465"" } )"
<meta content=\""yes\"" name=\""apple-mobile-web-app-capable\"" />;"meta content=""yes"" name=""apple-mobile-web-app-capable"" />"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { cmp=com.funbox.game.angxde/.ScoreList }"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (45ms)"
;ORTAL_IS.CONF.MULTI_PORTALS.EXTERNAL_SCHEME	= \""https\"";","TAL_IS.CONF.MULTI_PORTALS.EXTERNAL_SCHEME	= ""https"";"
<android.view.View: void setVisibility(int)>;"8"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.Main@45f87bd","class com.funbox.game.angxde.GMenu"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameView","surfaceDestroyed(): mThread.stop()"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"DEBUG","onScroll"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (25ms)"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","onPause()...call"
;		cssNode.type = 'text/css';","cssNode.type = 'text/css';"
;/ These properties describes the external references of the portal.","These properties describes the external references of the portal."
;/ Debug configurations","Debug configurations"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (11ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (239ms)"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@4607ad1","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (18ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (27ms)"
;ORTAL_IS.CONF.MULTI_PORTALS.EXTERNAL_PORT		= 443;","TAL_IS.CONF.MULTI_PORTALS.EXTERNAL_PORT		= 443;"
;		cssNode.rel = 'stylesheet';","cssNode.rel = 'stylesheet';"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.Main@cf3885c","class com.funbox.game.angxde.GMenu"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m32s630ms barrier=0 }"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"DEBUG","onDownd"
;ORTAL_IS.CONF.MULTI_PORTALS.EXTERNAL_PATH 		= \""\"";","TAL_IS.CONF.MULTI_PORTALS.EXTERNAL_PATH 		= """";"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.Main@1f27a82","class com.funbox.game.angxde.GMenu"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@f13ec11","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@32ad300","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","Publisher ID set to a14daed855ae267"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Length","285"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (152ms)"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Length","250"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (95ms)"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"DEBUG","onFling"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (5ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","To get test ads on this device use AdManager.setTestDevices( new String[] { ""0A13ED53739C1D8E461FA71B1A2C8D23"" } )"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { cmp=com.funbox.game.angxde/.GMenu (has extras) }"
<java.net.URL: void <init>;ava.lang.String)>","http://r.admob.com/ad_source.php"
<android.content.Intent: android.content.Intent putExtra(java.lang.String,int)>;"gameScore","5"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m32s520ms barrier=0 }"
;ORTAL IS - ESSENTIALS INCLUSION - START","TAL IS - ESSENTIALS INCLUSION - START"
<java.io.OutputStream: void write(byte[])>;"[B@c402950"
<android.content.Intent: android.content.Intent putExtra(java.lang.String,boolean)>;"gamePause","true"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameView","surfaceCreated(): mTrhead.start()"
<android.content.Intent: android.content.Intent putExtra(java.lang.String,boolean)>;"gamePause","false"
<meta content=\""text/html; charset=utf-8\"" http-equiv=\""Content-Type\"" />;"<meta content=""text/html; charset=utf-8"" http-equiv=""Content-Type"" />"
<link id=\""staticCSS\"" rel=\""stylesheet\"" type=\""text/css\"" href=\""/UserCheck/css/Blob_static.css\"" />;"link id=""staticCSS"" rel=""stylesheet"" type=""text/css"" href=""/UserCheck/css/Blob_static.css"" />"
;{"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Length","248"
<android.content.Intent: android.content.Intent putExtra(java.lang.String,int)>;"gameLife","3"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Length","251"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@1ea39e7","class com.funbox.game.angxde.ScoreList"
<java.net.URL: void <init>;ava.lang.String)>","http://mm.admob.com/static/android/i18n/20100331/en.properties"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@3cbd3c7","class com.funbox.game.angxde.Main"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { cmp=com.funbox.game.angxde/com.funbox.game.promote.AdSplash }"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (245ms)"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m32s957ms barrier=0 }"
<script type=\""text/javascript\"">;"	<script type=""text/javascript"">"
;/ Localization object.","Localization object."
;_______________________________________________________________________________________________________________________","_____________________________________________________________________________________________________________________"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","onCreate()...finished"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@f506438","class com.funbox.game.angxde.Main"
<head>;"ead>"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"X-ADMOB-ISU","0A13ED53739C1D8E461FA71B1A2C8D23"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.Main@506aa46","class com.funbox.game.angxde.GMenu"
;indow.PORTAL_IS.L10N = {}","dow.PORTAL_IS.L10N = {}"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (3ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (286ms)"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","doShowMenu(),gamePause=TRUE"
<android.app.Activity: void setContentView(int)>;"2130903040"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.Main@be3ac25","class com.funbox.game.angxde.GMenu"
;indow.PORTAL_IS = {};","dow.PORTAL_IS = {};"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m16s998ms barrier=0 }"
<html>;"ml>"
;""
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@9c34574","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@2d3b291","class com.funbox.game.angxde.Main"
;this.init = function()","is.init = function()"
;/ Set global PORTAL_IS namespace.","Set global PORTAL_IS namespace."
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (29ms)"
<android.view.View: void setVisibility(int)>;"4"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameAd","createPath(): mGameAdPath=/storage/emulated/0/.droidga/"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.Main@c8e4f5f","class com.funbox.game.angxde.GMenu"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","doShowMenu(), gameLife=3, level=1, mScore=0"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-2m26s497ms barrier=0 }"
<android.app.Activity: void setContentView(int)>;"2130903041"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (57ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (4ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (7ms)"
<android.view.View: void setFocusable(boolean)>;"0"
;*"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@801c1fa","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (55ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (14ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (56ms)"
;ORTAL_IS.CONF.DEBUG_LEVEL 	= 0;","TAL_IS.CONF.DEBUG_LEVEL 	= 0;"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","AdMob SDK version is 20100331-ANDROID-3312276cc1406347"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@b8951cd","class com.funbox.game.angxde.Main"
;/ Set namespace.","Set namespace."
;ORTAL_IS.CONF.QUIET_MODE		= \""on\"".toLowerCase() == \""on\"";","TAL_IS.CONF.QUIET_MODE		= ""on"".toLowerCase() == ""on"";"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (51ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (196ms)"
<java.io.Writer: void write(java.lang.String)>;"1901,
;ORTAL_IS.CONF.WEBAPP_NAME = \""UserCheck\"";","TAL_IS.CONF.WEBAPP_NAME = ""UserCheck"";"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@e66d81b","class com.funbox.game.angxde.ScoreList"
<android.view.Window: void setFlags(int,int)>;"1024","1024"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameAd","work(): in = null"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"AdSplash","finish()....is call!"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GMenu","onCreate(), Life=0, level=1"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameView","Thread exit!"
;this.strings = new Array();","is.strings = new Array();"
;unction __L10N()","ction __L10N()"
<android.content.Intent: android.content.Intent putExtra(java.lang.String,int)>;"gameLevel","1"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (52ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (23ms)"
;"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (41ms)"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (40ms)"
;		var headID = document.getElementsByTagName(\""head\"")[0];         ","var headID = document.getElementsByTagName(""head"")[0];         "
;/ The current web application name.","The current web application name."
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@5dc3ac6","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"DEBUG","onSingleTapUp"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-2m33s394ms barrier=0 }"
;/=============================================================================================","============================================================================================"
<android.util.Log: int w(java.lang.String,java.lang.String,java.lang.Throwable)>;"AdMobSDK","could not open connection to url http://mm.admob.com/static/android/i18n/20100331/en.properties","java.net.UnknownHostException: Unable to resolve host ""mm.admob.com"": No address associated with hostname"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"main","users.add"
<java.io.OutputStream: void write(byte[])>;"[B@991c558"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.GMenu@a6839d3","class com.funbox.game.angxde.Main"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"User-Agent","Mozilla/5.0 (Linux; U; Android 9; en-us; AOSP on IA Emulator Build/PSR1.180720.117) AppleWebKit/525.10+ (KHTML, like Gecko) Version/3.0.4 Mobile Safari/523.12.2 (AdMob-ANDROID-20100331)"
<android.view.View: void setClickable(boolean)>;"0"
<android.view.ViewGroup: void setDescendantFocusability(int)>;"262144"
<android.view.View: void setClickable(boolean)>;"1"
;ORTAL_IS.CONF = {};","TAL_IS.CONF = {};"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","To get test ads on this device use AdManager.setTestDevices( new String[] { ""41742AAE45701FD9125EB75688D66567"" } )"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m32s853ms barrier=0 }"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (158ms)"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@c311910","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"main","new SimpleAdapter"
<br>;ease make sure that you are using an updated browser and that JavaScript is enabled.\"",\""MSGBOX_TITLE_CONFIRMATION\"":\""Confirmation\"",\""MSGBOX_TITLE_JUSTIFICATION\"":\""Justification\"",\""MSGBOX_TITLE_APPROVER\"":\""Approver\"",\""MSGBOX_TITLE_WARNING\"":\""Warning\"",\""MSGBOX_TITLE_ATTENTION\"":\""Attention\"",\""MSGBOX_TITLE_ERROR\"":\""Error\"",\""MSGBOX_TITLE_REPORT_ERROR\"":\""Report an error\"",\""MSGBOX_TITLE_EXTEND_EXPIRATION\"":\""Extend expiration date\"",\""DEFAULT_GENERIC_CLIENT_ERROR\"":\""An unexpected error has occurred.\nYou may still be able ","ar obj = {""UC_TITLE"":""Check Point UserCheck""","""UC_TITLE_MOBILE_DLP"":""Check Point UserCheck Mobile DLP""","""BUTTON.OK"":""OK""","""BUTTON.CANCEL"":""Cancel""","""BUTTON.SEND"":""Send""","""BUTTON.DISCARD"":""Discard""","""BUTTON.APPROVE"":""Approve""","""BUTTON.CONFIRM"":""Confirm""","""BUTTON.CLOSE"":""Close""","""WRONG_ID"":""This notification page has expired. You can safely close the page. ""","""TIMEOUT"":""This notification page has expired. You can safely close the page. ""","""RETRY"":""Reload the original page.""","""REPORT_SUCCESS"":""Report was sent successfully.""","""REPORT_ERROR"":""An error occured while sending the report.""","""REQUIRED_FIELDS"":""Required fields""","""ENTER_TEXT"":""Enter text""","""TEXT_TOO_LONG"":""Your text is too long!""","""RETURN_TO_SITE"":""Return to site""","""UC.BLOCKED_IFRAME"":""Learn more...""","""UC.INFO_IFRAME"":""Click to resolve...""","""PLEASE_WAIT"":""Please wait . . .""","""NO_SCRIPT"":""This portal requires a browser which supports JavaScript.<br>Please make sure that you are using an updated browser and that JavaScript is enabled.""","""MSGBOX_TITLE_CONFIRMATION"":""Confirmation""","""MSGBOX_TITLE_JUSTIFICATION"":""Justification""","""MSGBOX_TITLE_APPROVER"":""Approver""","""MSGBOX_TITLE_WARNING"":""Warning""","""MSGBOX_TITLE_ATTENTION"":""Attention""","""MSGBOX_TITLE_ERROR"":""Error""","""MSGBOX_TITLE_REPORT_ERROR"":""Report an error""","""MSGBOX_TITLE_EXTEND_EXPIRATION"":""Extend expiration date""","""DEFAULT_GENERIC_CLIENT_ERROR"":""An unexpected error has occurred.nYou may still be able "
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Length","286"
<android.app.Activity: void setContentView(int)>;"2130903044"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@5220e2b","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@7894cc0","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameView","surfaceChanged() ...is called"
<org.apache.http.params.HttpProtocolParams: void setUserAgent(org.apache.http.params.HttpParams,java.lang.String)>;"org.apache.http.params.BasicHttpParams@6f34ec1","Mozilla/5.0 (iPhone; U; CPU iPhone OS 3_0 like Mac OS X; en-us) AppleWebKit/528.18 (KHTML, like Gecko) Version/4.0 Mobile/7A341 Safari/528.16"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (258ms)"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"X-ADMOB-ISU","E7732AA1CEAC90252F74BF7D0D513465"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","doShowMenu(), gameLife=0, level=1, mScore=5"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-2m48s739ms barrier=0 }"
;ORTAL_IS.CONF.MULTI_PORTALS = {};","TAL_IS.CONF.MULTI_PORTALS = {};"
;ORTAL_IS.CONF.MAX_STACK_SIZE = 1000;","TAL_IS.CONF.MAX_STACK_SIZE = 1000;"
<android.content.Intent: android.content.Intent setClass(android.content.Context,java.lang.Class)>;"com.funbox.game.angxde.Main@26197b6","class com.funbox.game.angxde.GMenu"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (1072ms)"
<android.view.Window: void setFlags(int,int)>;"128","128"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameAd","work():GameAdXml=<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">
<android.util.Log: int v(java.lang.String,java.lang.String)>;"GameAd","getNextGameId():line=<!DOCTYPE HTML PUBLIC ""-//W3C//DTD HTML 4.01//EN"" ""http://www.w3.org/TR/html4/strict.dtd"">"
<android.content.Intent: android.content.Intent putExtra(java.lang.String,int)>;"gameLife","0"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (1ms)"
<android.util.Log: int v(java.lang.String,java.lang.String)>;"Main","exitMain(): GameOver, Activity finish()"
;	"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (9ms)"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-1m14s305ms barrier=0 }"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"X-ADMOB-ISU","41742AAE45701FD9125EB75688D66567"
;=======================================================================================================================","====================================================================================================================="
<android.app.Activity: void setContentView(int)>;"2130903043"
<link id=\""dynamicCSS\"" rel=\""stylesheet\"" type=\""text/css\"" href=\""/UserCheck/css/Blob_dynamic_css\"" />;"link id=""dynamicCSS"" rel=""stylesheet"" type=""text/css"" href=""/UserCheck/css/Blob_dynamic_css"" />"
<android.view.View: void setLongClickable(boolean)>;"0"
<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { cmp=com.funbox.game.angxde/.Main }"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"nnx.bc"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (37ms)"
;		"
<android.util.Log: int i(java.lang.String,java.lang.String)>;"AdMobSDK","No fill.  Server replied that no ads are available (153ms)"
