<android.app.Activity: void startActivity(android.content.Intent)>;"Intent { cmp=com.tgb.bg.jevcyx/.views.TGBMainMenu }"
<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>;"AndEngine","EXTENSIONS: GL_EXT_debug_marker GL_EXT_robustness GL_OES_blend_func_separate GL_OES_blend_equation_separate GL_OES_blend_subtract GL_OES_byte_coordinates GL_OES_compressed_paletted_texture GL_OES_point_size_array GL_OES_point_sprite GL_OES_single_precision GL_OES_stencil_wrap GL_OES_texture_env_crossbar GL_OES_texture_mirored_repeat GL_OES_EGL_image GL_OES_element_index_uint GL_OES_draw_texture GL_OES_texture_cube_map GL_OES_draw_texture GL_OES_packed_depth_stencil GL_EXT_texture_format_BGRA8888 GL_APPLE_texture_format_BGRA8888 GL_OES_compressed_ETC1_RGB8_texture ANDROID_EMU_CHECKSUM_HELPER_v1 ANDROID_EMU_native_sync_v2 ANDROID_EMU_dma_v1 ANDROID_EMU_YUV420_888_to_NV21 ANDROID_EMU_YUV_Cache ANDROID_EMU_sync_buffer_data GL_OES_EGL_image_external_essl3 GL_OES_vertex_array_object GL_KHR_texture_compression_astc_ldr ANDROID_EMU_host_side_tracing ANDROID_EMU_gles_max_version_3_0 ","null"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@f1d1b4f","0","8"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@91b8de7","null","android.graphics.BitmapFactory$Options@da1fd94"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@4c871f","0","8"
<android.content.res.AssetManager: java.io.InputStream open(java.lang.String)>;"gfx/splash.png"
<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>;"AndEngine","EXTENSIONS_VERXTEXBUFFEROBJECTS = true","null"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.anddev.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas@616ba29"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@a2530b9","null","android.graphics.BitmapFactory$Options@ec44cfe"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.anddev.andengine.opengl.texture.atlas.bitmap.BitmapTextureAtlas@2bb2a6c"
<android.util.Log: int i(java.lang.String,java.lang.String,java.lang.Throwable)>;"AndEngine","org.anddev.andengine.input.touch.TouchEvent$TouchEventPool<TouchEvent> was exhausted, with 0 item not yet recycled. Allocated 1 more.","null"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@f324e56","0","8"
<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>;"AndEngine","VERSION: OpenGL ES-CM 1.1 (OpenGL ES 3.0 SwiftShader 4.0.0.1)","null"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.anddev.andengine.opengl.texture.region.buffer.TextureRegionBuffer@51b42f3"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.anddev.andengine.opengl.vertex.RectangleVertexBuffer@c262835"
<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>;"AndEngine","EXTENSIONS_DRAWTEXTURE = true","null"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@5f3bbb0","0","8"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@79cf9e2","null","android.graphics.BitmapFactory$Options@8c57173"
<android.app.NotificationManager: void notify(int,android.app.Notification)>;"100101001","Notification(channel=null pri=0 contentView=com.tgb.bg.jevcyx/0x1090094 vibrate=null sound=null tick defaults=0x0 flags=0x10 color=0x00000000 vis=PRIVATE)"
<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>;"AndEngine","RENDERER: Android Emulator OpenGL ES Translator (Google SwiftShader)","null"
<android.graphics.BitmapFactory: android.graphics.Bitmap decodeStream(java.io.InputStream,android.graphics.Rect,android.graphics.BitmapFactory$Options)>;"android.content.res.AssetManager$AssetInputStream@f3c763b","null","android.graphics.BitmapFactory$Options@5668158"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.anddev.andengine.opengl.texture.region.buffer.TextureRegionBuffer@2196abe"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@71ab2ad","0","8"
<java.util.HashSet: boolean add(java.lang.Object)>;"org.anddev.andengine.opengl.vertex.RectangleVertexBuffer@109f3c4"
<java.nio.IntBuffer: java.nio.IntBuffer put(int[],int,int)>;"[I@a7d74ca","0","8"
<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>;"AndEngine","onSurfaceCreated","null"
<android.util.Log: int d(java.lang.String,java.lang.String,java.lang.Throwable)>;"AndEngine","onSurfaceChanged: pWidth=1800  pHeight=1080","null"
