<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>;"POST"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.698682514291795"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.070072006552186"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Accept-Encoding","identity"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.807862396585053"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.20236063559576"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.316029386325129"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.847322380898097"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Content-Type","application/x-www-form-urlencoded"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.700101694651407"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.244726030021322"
<android.util.Log: int e(java.lang.String,java.lang.String)>;"debug info","**** Error: Problem setting up in-app billing: IabResult: Error checking for billing v3 support. (response: 3:Billing Unavailable)"
<android.view.View: void setFocusable(boolean)>;"1"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Connection","close"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"My name"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.17869637113976"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.260213711111062"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-15h47m28s364ms barrier=0 }"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:1.4850435699101139"
<android.view.View: void setFocusableInTouchMode(boolean)>;"1"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:15.190732492411657"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.793621463309053"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.259516811004632"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.866079885192828"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.122566820275248"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{5575f57 VFE...... ......I. 0,0-0,0}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.81027792388896"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.73105188536265"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.876936843610384"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.972743652765267"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.937516674275242"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-10h48m31s650ms barrier=0 }"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.146501166085976"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.206114384857173"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.467560498652267"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.913431709677091"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.042635732269913"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.503203332716152"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.259417221883673"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.302141118912244"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.486759598424888"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.893726839855226"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"100001","240000"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.20523444261468"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.411685024958942"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.849670497347656"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","createEditText:"
<android.widget.TextView: void setTextSize(float)>;"22.90909"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.965887349430368"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.127414346172412"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-15h47m29s617ms barrier=0 }"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.601667231898283"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.96265323343669"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:13.424634764948998"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.7361483914245"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.28406322492756"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.409929927577231"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.456717841270542"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.67641223541396"
<android.os.Handler: boolean sendEmptyMessageDelayed(int,long)>;"0","20000"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.999111675188763"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.966184662179517"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"IabHelper","Checking for in-app billing 3 support."
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.57649462553254"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""ea54c277-547a-4ce4-b47d-74466315c792"",oauth_signature=""BlnE9eN6jB8fwI2n9L6PhtLjmug%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682173688"",oauth_version=""1.0"""
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.854817505687153"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.98869895580928"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.815085909929231"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.471717276984156"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.517443495560693"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.586977502276373"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.11485307290862"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.683042786622384"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:15.336928277328377"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.336938913084715"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.579040512570286"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.170285699604767"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""9810cdb8-5045-453d-8ae5-24435a18cef3"",oauth_signature=""DvKksVYM%2BNpkoGEET%2BwANnoNG1E%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682182593"",oauth_version=""1.0"""
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.260642817927204"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.855052831210521"
<android.view.View: void setBackgroundColor(int)>;"0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.629125099427021"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.347436649031245"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-10h48m39s857ms barrier=0 }"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.34527185208445"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.152574053949982"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.468986159089189"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.326309076721927"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"ExchangerSDK","Starting Exchanger sdk"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"IabHelper","Billing service disconnected."
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.19765750437706"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.498745843289619"
<android.app.Activity: void setContentView(int)>;"2130903040"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.11915082778911"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.369578774771071"
<android.widget.TextView: void setText(java.lang.CharSequence)>;"hMxy name"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{1c3e7d5 VFE...... ......I. 0,0-0,0}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.690823736977265"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.6026236125282125"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.927955476019731"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","onBackPressed Called"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","cocos2dxactivity::onResume"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"User-Agent","DirectTapSDK ver1.0.3 (9;28;) Android Native"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.919433493278415"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.504365402551219"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.886917333811146"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.900649285145871"
<android.util.Log: int w(java.lang.String,java.lang.String)>;"DoodleMobileAnaylise","create files"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.84017614442732"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","cocos2dxactivity::handleOnResume"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.39309621389386"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.604256422689032"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.410603450235993"
<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>;"LEFT"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","onSurfaceCreated"
<android.view.Window: void setFlags(int,int)>;"512","512"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.619761272206196"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:14.091748099675897"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.225236310043767"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.040595469269608"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.948741305203283"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.39361127920607"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.882854214753134"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.713233198255468"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:6.9032445932023085"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:13.57769284299434"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:0.9204475833080036"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.598475769726548"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","Setup finished."
<android.util.Log: int d(java.lang.String,java.lang.String)>;"IabHelper","Billing service connected."
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.27456663254002"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:0.9481277500472864"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Authorization","OAuth realm="""",oauth_consumer_key=""ejnO7pvE9yzXSZSQgQxIX8moknqexq8fQVFniDaD"",oauth_nonce=""0803749b-ca82-424f-92e0-a5fcd64e0554"",oauth_signature=""jqu1ksUlvPGiRXIMCzml45dtqJA%3D"",oauth_signature_method=""HMAC-SHA1"",oauth_timestamp=""1682164566"",oauth_version=""1.0"""
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","onSurfaceChanged"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.641103123224712"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.793228906112653"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.067044541588718"
<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>;"CENTER"
<android.app.Activity: void setContentView(android.view.View)>;"android.widget.FrameLayout{8533086 VFE...... ......I. 0,0-0,0}"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.889453659654382"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:4.940131611248354"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.771099926522588"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:5.762322351437451"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:0.8498562129741203"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","showEditText:"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-15h47m28s372ms barrier=0 }"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.222015553084148"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:14.921095835180012"
<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>;"Sdk-Version","1.0.3"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"DirectTapSDK","Starting DirectTap sdk"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.612074004522745"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.597422085201085"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:4.958056886418395"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.298366038950908"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.060925357679078"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.08690859309334"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.93564245918968"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.53423938022864"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.620373583064763"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.860650635444895"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.484075337058098"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.650092613867496"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.384361119022579"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.691259949619248"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","cocos2dxrenderer::handleOnPause"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:7.995553512780472"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:9.102540465195123"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.98691236499068"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.860977884995872"
<android.widget.TextView: void setPadding(int,int,int,int)>;"0","0","0","0"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:10.687610512412789"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:11.492125354372552"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:12.432597901305266"
<android.util.Log: int d(java.lang.String,java.lang.String)>;"debug info","fps:8.583133656464314"
<android.os.Handler: boolean sendMessage(android.os.Message)>;"{ when=-10h49m59s331ms barrier=0 }"
