"<android.util.Log: int w(java.lang.String,java.lang.String)>","apk path","/data/app/com.fox.qinliugan.msh-KKZgsAYrgs51a3chmZfQgg==/base.apk"
"<android.app.Activity: void setContentView(int)>","2130903040"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>","pid","1"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>","versionCode","45"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>","sendTime","1682297451674"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.net.URL: void <init>(java.lang.String)>","http://da.mmarket.com/mmsdk/mmsdk?func=mmsdk:postactlog&appkey=300002900624&channel=0000000000&code=104"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>","POST"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib/x86/"
"<java.lang.String: boolean startsWith(java.lang.String)>","lib//"
"<java.io.OutputStream: void write(byte[])>","[B@d3e1d1b"
"<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>","Content-length","440"
"<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>","Content-Type","application/octet-stream"
"<java.net.URLConnection: void setRequestProperty(java.lang.String,java.lang.String)>","Charset","UTF-8"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<java.io.OutputStream: void write(byte[])>","[B@94e28f5"
"<android.util.Log: int i(java.lang.String,java.lang.String)>","MobileAgent","send actlog success:act0 size:377"
"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>","pid","1"
"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>","versionCode","45"
"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,long)>","sendTime","1682297453206"
"<android.util.Log: int i(java.lang.String,java.lang.String)>","MobileUtils","310260000000000"
"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>","screenWidth","1977"
"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>","screenHeight","1080"
"<org.json.JSONObject: org.json.JSONObject put(java.lang.String,int)>","screenDensity","440"
"<java.net.URL: void <init>(java.lang.String)>","http://da.mmarket.com/mmsdk/mmsdk?func=mmsdk:postsyslog&appkey=300002900624&channel=0000000000&code=104"
"<java.net.HttpURLConnection: void setRequestMethod(java.lang.String)>","POST"
"<java.io.OutputStream: void write(byte[])>","[B@fc0918"
"<android.util.Log: int i(java.lang.String,java.lang.String)>","MobileAgent","send syslog success"
"<java.lang.String: boolean startsWith(java.lang.String)>","/"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","music_menu.mp3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<java.lang.String: boolean startsWith(java.lang.String)>","/"
"<android.content.res.AssetManager: android.content.res.AssetFileDescriptor openFd(java.lang.String)>","music_expert.mp3"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
"<android.graphics.Paint: void setTextAlign(android.graphics.Paint$Align)>","CENTER"
